SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,TOV,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,normalized_player_name,player_group,bucks_guard_position,roster_guard_source,AST_TOV_CALC,playmaking_value_index,scoring_efficiency_index,half_court_creator_index,turnover_risk_index,performance_argument_score
2021-22,201935,James Harden,1610612755,PHI,32.0,65,37.2,22.0,7.7,10.3,4.4,2.7,0.41,0.33,0.877,114.9,111.4,3.5,0.401,2.35,30.9,13.1,0.485,0.583,0.266,99.49,0.153,james harden,James Harden,External Free Agent Target,Harden Target,2.340909090909091,43.864999999999995,41.964999999999996,50.3035,13.385000000000002,45.61875
2021-22,201950,Jrue Holiday,1610612749,MIL,32.0,67,32.9,18.3,4.5,6.8,2.7,6.4,0.501,0.411,0.761,118.2,109.7,8.5,0.297,2.5,27.3,10.9,0.57,0.593,0.231,101.18,0.126,jrue holiday,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.518518518518518,31.98,40.327,43.52345,9.215,40.298199999999994
2021-22,1628960,Grayson Allen,1610612749,MIL,26.0,66,27.3,11.1,3.4,1.5,0.7,3.5,0.448,0.409,0.865,112.5,107.5,5.0,0.075,2.33,13.6,5.8,0.588,0.609,0.148,101.69,0.081,grayson allen,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.142857142857143,9.945,35.103,29.0058,3.4299999999999997,27.805300000000003
2021-22,201588,George Hill,1610612749,MIL,36.0,54,23.2,6.2,2.9,2.2,0.8,5.8,0.429,0.306,0.919,112.5,100.8,11.7,0.124,2.93,25.9,8.9,0.504,0.552,0.115,101.54,0.073,george hill,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.75,14.755000000000003,27.952,29.148450000000004,4.715,27.498200000000004
2021-22,1626192,Pat Connaughton,1610612749,MIL,29.0,65,26.0,9.9,4.2,1.3,0.5,-0.4,0.458,0.395,0.833,111.3,112.1,-0.7,0.067,2.34,12.9,5.5,0.605,0.62,0.137,101.72,0.089,pat connaughton,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.6,9.34,34.36,28.293,2.925,27.26925
2021-22,1628975,Jevon Carter,1610612749,MIL,26.0,66,13.7,4.2,1.7,1.5,0.5,-0.8,0.387,0.388,0.833,107.3,110.3,-3.0,0.148,2.82,24.6,8.7,0.518,0.531,0.135,101.81,0.067,jevon carter,Milwaukee Bucks Guard,Bucks Guard,Roster Position,3.0,13.899999999999999,26.601,27.68535,4.045,26.2696
2021-22,1629623,Lindell Wigginton,1610612749,MIL,24.0,19,10.5,4.2,1.3,1.2,0.6,-2.5,0.426,0.346,0.543,107.3,119.2,-11.8,0.167,1.92,20.7,10.8,0.5,0.524,0.183,104.86,0.06,lindell wigginton,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.0,12.26,25.851999999999997,26.5212,4.9799999999999995,24.778200000000002
2021-22,202083,Wesley Matthews,1610612749,MIL,35.0,49,20.5,5.1,1.9,0.7,0.4,2.8,0.395,0.338,0.786,114.4,107.7,6.7,0.047,2.0,12.6,6.3,0.516,0.536,0.104,102.71,0.035,wesley matthews,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.7499999999999998,6.379999999999999,26.896000000000004,24.3626,3.005,23.310850000000002
2022-23,201935,James Harden,1610612755,PHI,33.0,58,36.8,21.0,6.1,10.7,3.4,4.8,0.441,0.385,0.867,119.4,113.3,6.1,0.439,3.17,34.4,10.9,0.536,0.607,0.247,96.11,0.159,james harden,James Harden,External Free Agent Target,Harden Target,3.1470588235294117,49.315,42.665,53.995999999999995,10.615,50.28075
2022-23,201950,Jrue Holiday,1610612749,MIL,33.0,67,32.6,19.3,5.1,7.4,2.9,7.2,0.479,0.384,0.859,117.0,107.9,9.2,0.321,2.51,27.6,11.0,0.556,0.586,0.244,102.82,0.135,jrue holiday,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.5517241379310347,34.455000000000005,40.55800000000001,44.84555000000001,9.649999999999999,41.46805000000001
